Species,Item,d13C,d15N
Odontaster,Sympagic_BL,-13.4,6.1
Odontaster,Sympagic_BL,-14.3,6.2
Odontaster,Sympagic_BL,-13.7,4.7
Odontaster,Sympagic_BL,-15.8,6
Odontaster,Sympagic_BL,-13,4.4
Odontaster,Sympagic_BL,-11.7,5.3
Odontaster,Sympagic_BL,-13.4,5.2
Odontaster,Sympagic_BL,-10.7,5.3
Odontaster,Sympagic_BL,-12.4,5.3
Odontaster,Sympagic_BL,-12.2,4.8
Odontaster,Sympagic_BL,-11.1,5.2
Odontaster,Odontaster,-12.4,9.3
Odontaster,Odontaster,-13.8,8.5
Odontaster,Odontaster,-14.4,8
Odontaster,Odontaster,-14.8,8.8
Odontaster,Odontaster,-12.9,9.1
Odontaster,Odontaster,-13,9.2
Odontaster,Odontaster,-14.3,9.1
Odontaster,Odontaster,-13.5,9.5
Odontaster,Odontaster,-14.1,9.2
Odontaster,Odontaster,-14,9
Odontaster,Odontaster,-15,8.6
Odontaster,Odontaster,-12.8,8
Odontaster,Odontaster,-15.5,9.4
Odontaster,Odontaster,-13.4,8.5
Odontaster,Odontaster,-13.9,8.7
Odontaster,Odontaster,-14.5,8.6
Odontaster,Odontaster,-14.1,8.2
Odontaster,Odontaster,-15.5,7.4
Odontaster,Odontaster,-14.4,8.4
Odontaster,Odontaster,-13.9,9
Odontaster,Odontaster,-12.9,8.1
Odontaster,Odontaster,-13.9,8.2
Odontaster,Odontaster,-12.9,8.7
Parborlasia,Pelagic_BL,-27,6.6
Parborlasia,Pelagic_BL,-26.9,8
Parborlasia,Pelagic_BL,-26,5.1
Parborlasia,Pelagic_BL,-26.3,6
Parborlasia,Pelagic_BL,-26.6,6.4
Parborlasia,Pelagic_BL,-27.3,6.5
Parborlasia,Pelagic_BL,-26.7,6.7
Parborlasia,Pelagic_BL,-26.8,5.8
Parborlasia,Pelagic_BL,-26.9,5.4
Parborlasia,Pelagic_BL,-26.5,6.7
Parborlasia,Pelagic_BL,-27.8,7
Parborlasia,Pelagic_BL,-25.6,6.7
Parborlasia,Sympagic_BL,-11.9,6.2
Parborlasia,Sympagic_BL,-12.2,5
Parborlasia,Sympagic_BL,-12.9,5.3
Parborlasia,Sympagic_BL,-11.7,5.2
Parborlasia,Sympagic_BL,-8.1,4.8
Parborlasia,Sympagic_BL,-14.8,5.9
Parborlasia,Sympagic_BL,-11.4,5.2
Parborlasia,Sympagic_BL,-11.2,4.9
Parborlasia,Sympagic_BL,-14.1,5.4
Parborlasia,Sympagic_BL,-13.4,6.1
Parborlasia,Sympagic_BL,-14.3,6.2
Parborlasia,Sympagic_BL,-13.7,4.7
Parborlasia,Sympagic_BL,-15.8,6
Parborlasia,Sympagic_BL,-13,4.4
Parborlasia,Sympagic_BL,-11.7,5.3
Parborlasia,Sympagic_BL,-13.4,5.2
Parborlasia,Sympagic_BL,-10.7,5.3
Parborlasia,Sympagic_BL,-12.4,5.3
Parborlasia,Sympagic_BL,-12.2,4.8
Parborlasia,Sympagic_BL,-11.1,5.2
Parborlasia,Parborlasia,-15.9,10
Parborlasia,Parborlasia,-18.6,9.6
Parborlasia,Parborlasia,-20.5,7.7
Parborlasia,Parborlasia,-18.2,9.4
Parborlasia,Parborlasia,-18.1,10.3
Parborlasia,Parborlasia,-18.6,10.3
Parborlasia,Parborlasia,-18.4,10
Parborlasia,Parborlasia,-18.2,10.4
Parborlasia,Parborlasia,-18.1,11.1
Parborlasia,Parborlasia,-19.2,11.3
Parborlasia,Parborlasia,-19.8,8.6
Parborlasia,Parborlasia,-21,10.4
Parborlasia,Parborlasia,-19.8,9.4
Parborlasia,Parborlasia,-17.7,9
Parborlasia,Parborlasia,-19.5,10.2
Parborlasia,Parborlasia,-19.4,9.8
Parborlasia,Parborlasia,-23.2,8.5
Parborlasia,Parborlasia,-20,10
Parborlasia,Parborlasia,-19,11.8
Parborlasia,Parborlasia,-18.8,11.6
Parborlasia,Parborlasia,-23.1,10.3
Parborlasia,Parborlasia,-17.5,11.1
Parborlasia,Parborlasia,-18.9,10.6
Parborlasia,Parborlasia,-21,11.3
Sterechinus,Pelagic_BL,-27,6.6
Sterechinus,Pelagic_BL,-26.9,8
Sterechinus,Pelagic_BL,-26,5.1
Sterechinus,Pelagic_BL,-26.3,6
Sterechinus,Pelagic_BL,-26.6,6.4
Sterechinus,Pelagic_BL,-27.3,6.5
Sterechinus,Pelagic_BL,-26.7,6.7
Sterechinus,Pelagic_BL,-26.8,5.8
Sterechinus,Pelagic_BL,-26.9,5.4
Sterechinus,Pelagic_BL,-26.5,6.7
Sterechinus,Pelagic_BL,-27.8,7
Sterechinus,Pelagic_BL,-25.6,6.7
Sterechinus,Sympagic_BL,-11.9,6.2
Sterechinus,Sympagic_BL,-12.2,5
Sterechinus,Sympagic_BL,-12.9,5.3
Sterechinus,Sympagic_BL,-11.7,5.2
Sterechinus,Sympagic_BL,-8.1,4.8
Sterechinus,Sympagic_BL,-14.8,5.9
Sterechinus,Sympagic_BL,-11.4,5.2
Sterechinus,Sympagic_BL,-11.2,4.9
Sterechinus,Sympagic_BL,-14.1,5.4
Sterechinus,Sympagic_BL,-13.4,6.1
Sterechinus,Sympagic_BL,-14.3,6.2
Sterechinus,Sympagic_BL,-13.7,4.7
Sterechinus,Sympagic_BL,-15.8,6
Sterechinus,Sympagic_BL,-13,4.4
Sterechinus,Sympagic_BL,-11.7,5.3
Sterechinus,Sympagic_BL,-13.4,5.2
Sterechinus,Sympagic_BL,-10.7,5.3
Sterechinus,Sympagic_BL,-12.4,5.3
Sterechinus,Sympagic_BL,-12.2,4.8
Sterechinus,Sympagic_BL,-11.1,5.2
Sterechinus,Sterechinus,-14.1,6.7
Sterechinus,Sterechinus,-17.6,6
Sterechinus,Sterechinus,-13.1,6.6
Sterechinus,Sterechinus,-14.4,7
Sterechinus,Sterechinus,-17.7,6.1
Sterechinus,Sterechinus,-14.6,8.1
Sterechinus,Sterechinus,-13.9,7.9
Sterechinus,Sterechinus,-14.9,7.9
Sterechinus,Sterechinus,-12.4,7.6
Sterechinus,Sterechinus,-16.1,6.6
Sterechinus,Sterechinus,-14.8,6.9
Sterechinus,Sterechinus,-15,6.8
Sterechinus,Sterechinus,-13.4,7.6
Sterechinus,Sterechinus,-14.9,7.5
Sterechinus,Sterechinus,-14.2,7.2
Sterechinus,Sterechinus,-13.8,8.1
Sterechinus,Sterechinus,-14.5,7.2
Sterechinus,Sterechinus,-14.2,6.8
Sterechinus,Sterechinus,-14.7,7.4
Sterechinus,Sterechinus,-13.3,6.7
Sterechinus,Sterechinus,-13.4,8.3
