Feeding_guild,Taxon,Site,Group,Group_Nr,d13C,d15N
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-25.0,5.5
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-24.2,3.9
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-25.2,6.9
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-25.4,6.8
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-25.9,5.8
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-24.7,5.2
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-22.7,8.2
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-26.4,6.3
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-25.1,7.8
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-25.5,4.4
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-26.3,6.7
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-25.2,8.0
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-26.1,7.7
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-26.3,5.1
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-26.6,6.0
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-25.8,4.8
SDF,Heterocucumis_sp,Lion,Hetsp2,8,-26.7,6.0
SDF,Laternula_elliptica,Elephants,Latell1,9,-23.5,3.6
SDF,Laternula_elliptica,Elephants,Latell1,9,-22.7,4.2
SDF,Laternula_elliptica,Elephants,Latell1,9,-23.0,3.9
SDF,Laternula_elliptica,Elephants,Latell1,9,-22.6,4.6
SDF,Laternula_elliptica,Elephants,Latell1,9,-19.7,4.6
SDF,Laternula_elliptica,Elephants,Latell1,9,-19.5,4.9
SDF,Laternula_elliptica,Lion,Latell2,10,-22.6,3.7
SDF,Laternula_elliptica,Lion,Latell2,10,-23.9,4.8
SDF,Laternula_elliptica,Lion,Latell2,10,-23.3,4.7
SDF,Laternula_elliptica,Lion,Latell2,10,-22.5,4.2
SDF,Laternula_elliptica,Lion,Latell2,10,-22.6,4.5
SDF,Laternula_elliptica,Lion,Latell2,10,-22.9,4.1
SDF,Laternula_elliptica,Lion,Latell2,10,-21.4,4.8
SDF,Laternula_elliptica,Lion,Latell2,10,-20.3,4.7
SDF,Laternula_elliptica,Lion,Latell2,10,-21.7,4.2
SDF,Laternula_elliptica,Lion,Latell2,10,-21.5,4.2
SDF,Laternula_elliptica,Lion,Latell2,10,-25.3,5.0
SDF,Laternula_elliptica,Lion,Latell2,10,-22.8,5.3
SDF,Laternula_elliptica,Lion,Latell2,10,-24.6,4.7
SDF,Laternula_elliptica,Lion,Latell2,10,-23.6,4.5
SDF,Laternula_elliptica,Lion,Latell2,10,-20.5,3.8
Grazer,Margarella_sp,Elephants,Marsp1,11,-18.6,8.1
Grazer,Margarella_sp,Elephants,Marsp1,11,-19.5,7.9
Grazer,Margarella_sp,Elephants,Marsp1,11,-18.1,8.2
Grazer,Margarella_sp,Elephants,Marsp1,11,-19.0,8.4
Grazer,Margarella_sp,Elephants,Marsp1,11,-19.3,8.0
Grazer,Margarella_sp,Elephants,Marsp1,11,-18.6,8.3
Grazer,Margarella_sp,Lion,Marsp2,12,-19.2,7.6
Grazer,Margarella_sp,Lion,Marsp2,12,-18.0,8.2
Grazer,Margarella_sp,Lion,Marsp2,12,-19.2,7.7
Grazer,Margarella_sp,Lion,Marsp2,12,-19.2,8.3
Grazer,Margarella_sp,Lion,Marsp2,12,-19.6,7.3
SDF,Perkinsiana_sp,Elephants,Persp1,13,-19.0,8.4
SDF,Perkinsiana_sp,Elephants,Persp1,13,-18.4,4.5
SDF,Perkinsiana_sp,Elephants,Persp1,13,-20.3,4.3
SDF,Perkinsiana_sp,Elephants,Persp1,13,-17.3,8.2
SDF,Perkinsiana_sp,Elephants,Persp1,13,-16.9,8.9
SDF,Perkinsiana_sp,Elephants,Persp1,13,-16.8,8.3
SDF,Perkinsiana_sp,Elephants,Persp1,13,-16.8,8.2
SDF,Perkinsiana_sp,Elephants,Persp1,13,-17.7,8.7
SDF,Perkinsiana_sp,Elephants,Persp1,13,-17.4,8.4
SDF,Perkinsiana_sp,Elephants,Persp1,13,-15.6,7.3
SDF,Perkinsiana_sp,Elephants,Persp1,13,-18.7,9.0
SDF,Perkinsiana_sp,Elephants,Persp1,13,-17.7,8.8
SDF,Perkinsiana_sp,Elephants,Persp1,13,-20.0,8.0
SDF,Perkinsiana_sp,Elephants,Persp1,13,-20.4,7.8
SDF,Perkinsiana_sp,Elephants,Persp1,13,-17.7,6.8
SDF,Perkinsiana_sp,Elephants,Persp1,13,-17.8,9.0
SDF,Perkinsiana_sp,Elephants,Persp1,13,-19.7,6.7
SDF,Perkinsiana_sp,Lion,Persp2,14,-18.7,6.3
SDF,Perkinsiana_sp,Lion,Persp2,14,-18.0,7.0
SDF,Perkinsiana_sp,Lion,Persp2,14,-19.2,6.8
SDF,Perkinsiana_sp,Lion,Persp2,14,-18.9,6.0
SDF,Perkinsiana_sp,Lion,Persp2,14,-19.8,7.2
SDF,Perkinsiana_sp,Lion,Persp2,14,-17.6,9.5
SDF,Perkinsiana_sp,Lion,Persp2,14,-18.6,6.1
SDF,Polycirrus_sp,Elephants,Polsp1,15,-18.2,6.0
SDF,Polycirrus_sp,Elephants,Polsp1,15,-16.3,8.6
SDF,Polycirrus_sp,Elephants,Polsp1,15,-15.9,6.3
SDF,Polycirrus_sp,Elephants,Polsp1,15,-17.1,6.0
SDF,Polycirrus_sp,Elephants,Polsp1,15,-17.7,6.3
SDF,Polycirrus_sp,Elephants,Polsp1,15,-18.5,8.3
